implementacao;arquivo;palavra;threads;tempo_seq;tempo_par;speedup;ocorrencias
Java;arquivo16GB.txt;a;20;51.574858;40.516865;1.272923;1599340572
C;arquivo16GB.txt;a;40;38.629500;39.943000;0.967116;1599340572
Java;arquivo16GB.txt;a;40;52.858161;41.043938;1.287843;1599340572
C;arquivo16GB.txt;a;80;41.713000;45.392000;0.918950;1599340572
Java;arquivo16GB.txt;a;80;57.824604;48.470441;1.192987;1599340572
C;arquivo16GB.txt;a;120;42.080500;40.701500;1.033881;1599340572
Java;arquivo16GB.txt;a;120;52.276979;41.566393;1.257674;1599340572
C;arquivo16GB.txt;a;160;43.269000;40.553000;1.066974;1599340572
Java;arquivo16GB.txt;a;160;51.504169;40.750850;1.263880;1599340572
C;arquivo16GB.txt;a;200;42.298000;43.782500;0.966094;1599340572
Java;arquivo16GB.txt;a;200;51.604433;40.605631;1.270869;1599340572
C;arquivo16GB.txt;como;1;46.371000;40.182500;1.154010;7493987
Java;arquivo16GB.txt;como;1;53.293022;53.059973;1.004392;7493987
C;arquivo16GB.txt;como;2;46.418500;38.270000;1.212921;7493987
Java;arquivo16GB.txt;como;2;53.152101;46.330121;1.147247;7493987
C;arquivo16GB.txt;como;8;46.692000;37.776500;1.236007;7493987
Java;arquivo16GB.txt;como;8;53.239697;40.729095;1.307166;7493987
C;arquivo16GB.txt;como;20;46.452500;39.790000;1.167442;7493987
Java;arquivo16GB.txt;como;20;53.541657;39.937676;1.340630;7493987
C;arquivo16GB.txt;como;40;46.358000;40.455000;1.145915;7493987
Java;arquivo16GB.txt;como;40;53.245711;39.829099;1.336855;7493987
C;arquivo16GB.txt;como;80;46.394000;39.599000;1.171595;7493987
Java;arquivo16GB.txt;como;80;53.096345;39.905110;1.330565;7493987
C;arquivo16GB.txt;como;120;46.486500;39.317500;1.182336;7493987
Java;arquivo16GB.txt;como;120;53.239552;39.713049;1.340606;7493987
C;arquivo16GB.txt;como;160;46.520000;37.840500;1.229371;7493987
Java;arquivo16GB.txt;como;160;53.219369;39.719399;1.339884;7493987
C;arquivo16GB.txt;como;200;46.416500;38.470000;1.206564;7493987
Java;arquivo16GB.txt;como;200;54.854403;40.808480;1.344191;7493987
C;arquivo16GB.txt;Bacamarte;1;43.927500;44.120000;0.995637;9367471
Java;arquivo16GB.txt;Bacamarte;1;46.650240;46.233181;1.009021;9367471
C;arquivo16GB.txt;Bacamarte;2;45.414000;41.622000;1.091106;9367471
Java;arquivo16GB.txt;Bacamarte;2;46.616630;42.643867;1.093161;9367471
C;arquivo16GB.txt;Bacamarte;8;42.305500;41.419000;1.021403;9367471
Java;arquivo16GB.txt;Bacamarte;8;46.665503;40.405808;1.154921;9367471
C;arquivo16GB.txt;Bacamarte;20;41.820000;45.637500;0.916352;9367471
Java;arquivo16GB.txt;Bacamarte;20;46.613206;39.669894;1.175027;9367471
C;arquivo16GB.txt;Bacamarte;40;41.508000;45.970000;0.902937;9367471
Java;arquivo16GB.txt;Bacamarte;40;46.496062;39.787668;1.168605;9367471
C;arquivo16GB.txt;Bacamarte;80;40.836500;42.545000;0.959843;9367471
Java;arquivo16GB.txt;Bacamarte;80;46.501378;39.548536;1.175805;9367471
C;arquivo16GB.txt;Bacamarte;120;40.717500;42.153500;0.965934;9367471
Java;arquivo16GB.txt;Bacamarte;120;46.942657;39.512427;1.188048;9367471
C;arquivo16GB.txt;Bacamarte;160;42.376500;41.679000;1.016735;9367471
Java;arquivo16GB.txt;Bacamarte;160;47.236678;39.643368;1.191540;9367471
C;arquivo16GB.txt;Bacamarte;200;40.877000;37.343500;1.094622;9367471
Java;arquivo16GB.txt;Bacamarte;200;47.920300;42.950049;1.115722;9367471
